CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.01;Receita de Venda de Bens e/ou Serviços;422648.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.01;Receita de Venda de Bens e/ou Serviços;470580.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-135641.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-153211.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.03;Resultado Bruto;287007.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.03;Resultado Bruto;317369.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.04;Despesas/Receitas Operacionais;-154507.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.04;Despesas/Receitas Operacionais;-147188.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2024-04-01;2025-03-31;3.04.01;Despesas com Vendas;0.0000000000;S
06.981.381/0001-13;2026-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Individual - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2025-04-01;2026-03-31;3.04.01;Despesas com Vendas;0.0000000000;S
